# Title : Bio-Trajectory directory file of the Argo Global Data Assembly Center
# Description : The directory file describes all bio-trajectory files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.2
# Date of update : 20201217135725
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.org/pub/outgoing/argo/dac
# GDAC node : CORIOLIS
file,latitude_max,latitude_min,longitude_max,longitude_min,profiler_type,institution,parameters,date_update
bodc/3901496/3901496_BRtraj.nc,,,,,836,BO,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY RAW_DOWNWELLING_IRRADIANCE380 RAW_DOWNWELLING_IRRADIANCE412 RAW_DOWNWELLING_IRRADIANCE490 RAW_DOWNWELLING_PAR DOWN_IRRADIANCE380 DOWN_IRRADIANCE412 DOWN_IRRADIANCE490 DOWNWELLING_PAR FLUORESCENCE_CHLA BETA_BACKSCATTERING700 BETA_BACKSCATTERING532 CHLA BBP700 BBP532,20201214154201
bodc/3901497/3901497_BRtraj.nc,,,,,836,BO,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY RAW_DOWNWELLING_IRRADIANCE380 RAW_DOWNWELLING_IRRADIANCE412 RAW_DOWNWELLING_IRRADIANCE490 RAW_DOWNWELLING_PAR DOWN_IRRADIANCE380 DOWN_IRRADIANCE412 DOWN_IRRADIANCE490 DOWNWELLING_PAR FLUORESCENCE_CHLA BETA_BACKSCATTERING700 BETA_BACKSCATTERING532 CHLA BBP700 BBP532,20201126121529
bodc/3901498/3901498_BRtraj.nc,,,,,836,BO,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY RAW_DOWNWELLING_IRRADIANCE380 RAW_DOWNWELLING_IRRADIANCE412 RAW_DOWNWELLING_IRRADIANCE490 RAW_DOWNWELLING_PAR DOWN_IRRADIANCE380 DOWN_IRRADIANCE412 DOWN_IRRADIANCE490 DOWNWELLING_PAR FLUORESCENCE_CHLA BETA_BACKSCATTERING700 BETA_BACKSCATTERING532 CHLA BBP700 BBP532,20200701195127
bodc/3901530/3901530_BRtraj.nc,,,,,836,BO,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY RAW_DOWNWELLING_IRRADIANCE380 RAW_DOWNWELLING_IRRADIANCE412 RAW_DOWNWELLING_IRRADIANCE490 RAW_DOWNWELLING_PAR DOWN_IRRADIANCE380 DOWN_IRRADIANCE412 DOWN_IRRADIANCE490 DOWNWELLING_PAR FLUORESCENCE_CHLA BETA_BACKSCATTERING700 BETA_BACKSCATTERING532 CHLA BBP700 BBP532,20200701200737
bodc/3901531/3901531_BRtraj.nc,,,,,836,BO,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY RAW_DOWNWELLING_IRRADIANCE380 RAW_DOWNWELLING_IRRADIANCE412 RAW_DOWNWELLING_IRRADIANCE490 RAW_DOWNWELLING_PAR DOWN_IRRADIANCE380 DOWN_IRRADIANCE412 DOWN_IRRADIANCE490 DOWNWELLING_PAR FLUORESCENCE_CHLA BETA_BACKSCATTERING700 BETA_BACKSCATTERING532 CHLA BBP700 BBP532,20201215203903
bodc/6901151/6901151_BRtraj.nc,,,,,836,BO,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY FLUORESCENCE_CHLA BETA_BACKSCATTERING700 BETA_BACKSCATTERING532 CHLA BBP700 BBP532 RAW_DOWNWELLING_IRRADIANCE380 RAW_DOWNWELLING_IRRADIANCE412 RAW_DOWNWELLING_IRRADIANCE490 RAW_DOWNWELLING_PAR DOWN_IRRADIANCE380 DOWN_IRRADIANCE412 DOWN_IRRADIANCE490 DOWNWELLING_PAR,20201126160343
bodc/6901152/6901152_BRtraj.nc,,,,,836,BO,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY FLUORESCENCE_CHLA BETA_BACKSCATTERING700 BETA_BACKSCATTERING532 CHLA BBP700 BBP532 RAW_DOWNWELLING_IRRADIANCE380 RAW_DOWNWELLING_IRRADIANCE412 RAW_DOWNWELLING_IRRADIANCE490 RAW_DOWNWELLING_PAR DOWN_IRRADIANCE380 DOWN_IRRADIANCE412 DOWN_IRRADIANCE490 DOWNWELLING_PAR,20201126190639
bodc/6901174/6901174_BRtraj.nc,,,,,836,BO,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY RAW_DOWNWELLING_IRRADIANCE380 RAW_DOWNWELLING_IRRADIANCE412 RAW_DOWNWELLING_IRRADIANCE490 RAW_DOWNWELLING_PAR DOWN_IRRADIANCE380 DOWN_IRRADIANCE412 DOWN_IRRADIANCE490 DOWNWELLING_PAR FLUORESCENCE_CHLA BETA_BACKSCATTERING700 BETA_BACKSCATTERING532 CHLA BBP700 BBP532,20201202101452
bodc/6901175/6901175_BRtraj.nc,,,,,836,BO,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY RAW_DOWNWELLING_IRRADIANCE380 RAW_DOWNWELLING_IRRADIANCE412 RAW_DOWNWELLING_IRRADIANCE490 RAW_DOWNWELLING_PAR DOWN_IRRADIANCE380 DOWN_IRRADIANCE412 DOWN_IRRADIANCE490 DOWNWELLING_PAR FLUORESCENCE_CHLA BETA_BACKSCATTERING700 BETA_BACKSCATTERING532 CHLA BBP700 BBP532,20201126114028
bodc/6901180/6901180_BRtraj.nc,,,,,836,BO,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY RAW_DOWNWELLING_IRRADIANCE380 RAW_DOWNWELLING_IRRADIANCE412 RAW_DOWNWELLING_IRRADIANCE490 RAW_DOWNWELLING_PAR DOWN_IRRADIANCE380 DOWN_IRRADIANCE412 DOWN_IRRADIANCE490 DOWNWELLING_PAR FLUORESCENCE_CHLA BETA_BACKSCATTERING700 BETA_BACKSCATTERING532 CHLA BBP700 BBP532,20201126125847
bodc/6901181/6901181_BRtraj.nc,,,,,836,BO,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY RAW_DOWNWELLING_IRRADIANCE380 RAW_DOWNWELLING_IRRADIANCE412 RAW_DOWNWELLING_IRRADIANCE490 RAW_DOWNWELLING_PAR DOWN_IRRADIANCE380 DOWN_IRRADIANCE412 DOWN_IRRADIANCE490 DOWNWELLING_PAR FLUORESCENCE_CHLA BETA_BACKSCATTERING700 BETA_BACKSCATTERING532 CHLA BBP700 BBP532,20201001124218
bodc/6901182/6901182_BRtraj.nc,,,,,836,BO,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY RAW_DOWNWELLING_IRRADIANCE380 RAW_DOWNWELLING_IRRADIANCE412 RAW_DOWNWELLING_IRRADIANCE490 RAW_DOWNWELLING_PAR DOWN_IRRADIANCE380 DOWN_IRRADIANCE412 DOWN_IRRADIANCE490 DOWNWELLING_PAR FLUORESCENCE_CHLA BETA_BACKSCATTERING700 BETA_BACKSCATTERING532 CHLA BBP700 BBP532,20201213173929
bodc/6901183/6901183_BRtraj.nc,,,,,836,BO,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY RAW_DOWNWELLING_IRRADIANCE380 RAW_DOWNWELLING_IRRADIANCE412 RAW_DOWNWELLING_IRRADIANCE490 RAW_DOWNWELLING_PAR DOWN_IRRADIANCE380 DOWN_IRRADIANCE412 DOWN_IRRADIANCE490 DOWNWELLING_PAR FLUORESCENCE_CHLA BETA_BACKSCATTERING700 BETA_BACKSCATTERING532 CHLA BBP700 BBP532,20201126164302
coriolis/1900943/1900943_BRtraj.nc,,,,,841,IF,PRES MOLAR_DOXY DOXY,20201119140116
coriolis/1901205/1901205_BRtraj.nc,,,,,841,IF,PRES MOLAR_DOXY DOXY,20181119093712
coriolis/1901206/1901206_BRtraj.nc,,,,,841,IF,PRES MOLAR_DOXY DOXY,20181119094254
coriolis/1901207/1901207_BRtraj.nc,,,,,841,IF,PRES MOLAR_DOXY DOXY,20201119140719
coriolis/1901208/1901208_BRtraj.nc,,,,,841,IF,PRES MOLAR_DOXY DOXY,20181119095537
coriolis/1901209/1901209_BRtraj.nc,,,,,841,IF,PRES MOLAR_DOXY DOXY,20181119095657
